"","edad","anos_de_experiencia","anos_en_la_empresa_actual","anos_en_el_puesto_actual","trabajo_de","salario_bruto","salario_neto","sueldo_dolarizado"
"150",29,1,0,0,"Data Scientist / Data Engineer",84700,70000,FALSE
"151",28,4,1,1,"BI Analyst / Data Analyst",73000,60500,FALSE
"152",32,6,3,0,"BI Analyst / Data Analyst",72000,60000,FALSE
"153",34,10,2,2,"Data Scientist / Data Engineer",150000,80000,FALSE
"154",23,0,0,0,"Data Scientist / Data Engineer",72000,58350,FALSE
"155",35,3,15,15,"Data Scientist / Data Engineer",136000,92000,FALSE
"156",21,2,0,2,"Data Scientist / Data Engineer",82000,65000,FALSE
"157",37,14,4,4,"BI Analyst / Data Analyst",71500,59170,FALSE
"158",30,10,7,2,"BI Analyst / Data Analyst",70000,58000,FALSE
"159",32,3,3,3,"Data Scientist / Data Engineer",70000,60000,FALSE
"160",26,2,1,1,"Data Scientist / Data Engineer",70000,58000,FALSE
"161",29,4,1,0,"BI Analyst / Data Analyst",68555,55700,FALSE
"162",26,4,0,0,"BI Analyst / Data Analyst",68000,57500,FALSE
"163",33,13,5,5,"Data Scientist / Data Engineer",68000,55000,FALSE
"164",28,0,0,0,"Data Scientist / Data Engineer",67200,57000,FALSE
"165",43,1,1,1,"Data Scientist / Data Engineer",66070,54838,FALSE
"166",43,2,2,2,"Data Scientist / Data Engineer",66000,54000,FALSE
"167",25,3,3,1,"BI Analyst / Data Analyst",65000,54000,FALSE
"168",33,13,0,0,"Data Scientist / Data Engineer",65000,53000,FALSE
"169",27,3,3,2,"BI Analyst / Data Analyst",65000,58000,FALSE
"170",24,1,1,1,"Data Scientist / Data Engineer",70000,58000,FALSE
"171",37,12,4,5,"BI Analyst / Data Analyst",64400,52500,FALSE
"172",37,15,7,3,"Data Scientist / Data Engineer",64000,53000,FALSE
"173",32,7,7,1,"BI Analyst / Data Analyst",62000,51000,FALSE
"174",30,2,0,0,"BI Analyst / Data Analyst",62000,55330,FALSE
"175",30,1,1,1,"Data Scientist / Data Engineer",60600,50300,FALSE
"176",26,8,0,0,"BI Analyst / Data Analyst",60500,49800,FALSE
"177",26,5,5,5,"BI Analyst / Data Analyst",60500,50200,FALSE
"178",26,3,0,0,"Data Scientist / Data Engineer",60000,54000,FALSE
"179",25,3,3,3,"BI Analyst / Data Analyst",60000,50000,FALSE
"180",40,13,4,4,"BI Analyst / Data Analyst",60000,49500,FALSE
"181",27,2,0,0,"BI Analyst / Data Analyst",60000,50000,FALSE
"182",25,2,0,0,"BI Analyst / Data Analyst",60000,49900,FALSE
"183",24,0,0,0,"Data Scientist / Data Engineer",42000,35000,FALSE
"184",25,0,0,0,"Data Scientist / Data Engineer",41000,34000,FALSE
"185",41,12,2,1,"Data Scientist / Data Engineer",110000,70000,FALSE
"186",43,8,8,2,"BI Analyst / Data Analyst",60000,50000,FALSE
"187",35,10,10,10,"BI Analyst / Data Analyst",60000,48000,FALSE
"188",30,4,4,1,"Data Scientist / Data Engineer",120000,90000,FALSE
"189",26,2,0,0,"Data Scientist / Data Engineer",60000,50000,FALSE
"190",34,8,0,0,"BI Analyst / Data Analyst",58500,48000,FALSE
"191",29,8,2,2,"BI Analyst / Data Analyst",58100,48223,FALSE
"192",25,3,1,1,"Data Scientist / Data Engineer",57480,47708,FALSE
"193",23,2,2,0,"BI Analyst / Data Analyst",57000,47000,FALSE
"194",23,3,0,0,"Data Scientist / Data Engineer",56000,46000,FALSE
"195",33,10,4,1,"Data Scientist / Data Engineer",161000,114000,FALSE
"196",24,2,0,0,"Data Scientist / Data Engineer",56000,44000,FALSE
"197",25,1,0,1,"BI Analyst / Data Analyst",55000,48000,FALSE
"198",30,1,1,1,"BI Analyst / Data Analyst",55000,45650,FALSE
"199",28,3,2,2,"BI Analyst / Data Analyst",55000,44000,FALSE
"200",28,2,2,1,"Data Scientist / Data Engineer",55000,50000,FALSE
"201",32,4,2,1,"Data Scientist / Data Engineer",90000,70000,FALSE
"202",29,5,0,0,"Data Scientist / Data Engineer",76300,63800,FALSE
"203",28,4,0,0,"BI Analyst / Data Analyst",54000,44820,FALSE
"204",32,3,3,3,"Data Scientist / Data Engineer",53000,44000,FALSE
"205",29,1,0,0,"Data Scientist / Data Engineer",90000,72000,FALSE
"206",37,15,3,15,"Data Scientist / Data Engineer",10630918,82594,FALSE
"207",30,7,1,1,"BI Analyst / Data Analyst",50000,45000,FALSE
"208",26,1,0,0,"BI Analyst / Data Analyst",50000,42500,FALSE
"209",33,1,0,0,"Data Scientist / Data Engineer",50000,41500,FALSE
"210",28,4,0,1,"Data Scientist / Data Engineer",110000,83000,FALSE
"211",22,1,0,1,"Data Scientist / Data Engineer",50000,41500,FALSE
"212",22,1,1,1,"Data Scientist / Data Engineer",51800,36500,FALSE
"213",33,5,2,2,"Data Scientist / Data Engineer",48000,42000,FALSE
"214",20,2,2,1,"Data Scientist / Data Engineer",48000,35000,FALSE
"215",24,2,15,15,"BI Analyst / Data Analyst",47790,39900,FALSE
"216",23,1,1,1,"BI Analyst / Data Analyst",47000,40000,FALSE
"217",21,0,0,0,"Data Scientist / Data Engineer",45000,37350,FALSE
"218",25,2,2,2,"Data Scientist / Data Engineer",42000,35000,FALSE
"219",36,18,3,3,"BI Analyst / Data Analyst",44000,36000,FALSE
"220",26,1,0,1,"BI Analyst / Data Analyst",43000,36000,FALSE
"221",34,6,3,3,"Data Scientist / Data Engineer",43000,40000,FALSE
"222",35,12,0,0,"BI Analyst / Data Analyst",42000,32000,FALSE
"223",24,2,2,0,"BI Analyst / Data Analyst",42000,36000,FALSE
"224",40,4,0,0,"BI Analyst / Data Analyst",40000,33200,FALSE
"225",30,1,1,0,"Data Scientist / Data Engineer",40000,33000,FALSE
"226",26,0,0,0,"BI Analyst / Data Analyst",40000,33600,FALSE
"227",22,0,0,0,"BI Analyst / Data Analyst",40000,30000,FALSE
"228",24,1,0,0,"BI Analyst / Data Analyst",39000,31000,FALSE
"229",21,1,1,1,"Data Scientist / Data Engineer",38500,32000,FALSE
"230",23,1,0,0,"BI Analyst / Data Analyst",38000,30600,FALSE
"231",29,1,1,1,"BI Analyst / Data Analyst",36900,30000,FALSE
"232",31,12,2,2,"BI Analyst / Data Analyst",36000,30000,FALSE
"233",21,0,0,0,"BI Analyst / Data Analyst",35000,30000,FALSE
"234",30,2,0,0,"BI Analyst / Data Analyst",35000,29000,FALSE
"235",32,0,0,0,"BI Analyst / Data Analyst",35000,29000,FALSE
"236",26,0,0,0,"BI Analyst / Data Analyst",35000,29000,FALSE
"237",21,0,0,0,"BI Analyst / Data Analyst",33000,27000,FALSE
"238",21,0,0,0,"BI Analyst / Data Analyst",31000,26000,FALSE
"239",23,0,0,0,"BI Analyst / Data Analyst",30100,25000,FALSE
"240",25,1,0,0,"BI Analyst / Data Analyst",30000,24900,FALSE
"241",28,0,0,0,"BI Analyst / Data Analyst",29000,25000,FALSE
"242",25,0,0,0,"BI Analyst / Data Analyst",28000,23000,FALSE
"243",24,2,2,2,"BI Analyst / Data Analyst",26000,24700,FALSE
"244",23,1,1,0,"BI Analyst / Data Analyst",24000,22000,FALSE
